type,nameOrig,nameDest,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,isFraud,creditCard,timestamp
DEBIT,Alice,David,1398.9,7151.23,5752.33,38266.87,39665.770000000004,0,1234-5678-9012-0743,2024-07-04 10:38:58.622161
TRANSFER,Alice,John,5080.56,45797.2,40716.64,32274.67,37355.229999999996,1,1234-5678-9012-0124,2024-08-18 10:38:58.622185
DEBIT,Jane,Bob,3575.44,3968.45,393.00999999999976,20141.75,23717.19,0,1234-5678-9012-0713,2025-01-04 10:38:58.622196
CASH_OUT,John,Bob,6401.55,41855.08,35453.53,36782.33,43183.880000000005,0,1234-5678-9012-0767,2025-04-16 10:38:58.622205
CASH_OUT,Eve,David,4676.86,9585.74,4908.88,33103.57,37780.43,0,1234-5678-9012-0707,2025-02-03 10:38:58.622213
CASH_OUT,Eve,Jane,9428.31,6058.7,-3369.6099999999997,46302.49,55730.799999999996,1,1234-5678-9012-0012,2025-01-05 10:38:58.622221
CASH_IN,Alice,Charlie,4846.15,25858.57,21012.42,18248.25,23094.4,0,1234-5678-9012-0650,2025-01-30 10:38:58.622228
PAYMENT,David,Eve,6165.98,3275.46,-2890.5199999999995,47752.39,53918.369999999995,0,1234-5678-9012-0092,2025-04-21 10:38:58.622238
PAYMENT,Charlie,Bob,7220.85,20976.28,13755.429999999998,24638.55,31859.4,0,1234-5678-9012-0034,2024-11-03 10:38:58.622245
TRANSFER,David,Alice,1974.21,36654.0,34679.79,3014.64,4988.85,0,1234-5678-9012-0440,2025-04-10 10:38:58.622253
PAYMENT,Bob,Alice,5850.32,46967.55,41117.23,11386.24,17236.559999999998,0,1234-5678-9012-0163,2024-12-18 10:38:58.622260
DEBIT,David,Charlie,3968.75,18420.04,14451.29,12452.96,16421.71,0,1234-5678-9012-0130,2024-10-06 10:38:58.622268
TRANSFER,Bob,Charlie,4382.15,34436.58,30054.43,28059.93,32442.08,0,1234-5678-9012-0919,2025-02-20 10:38:58.622275
PAYMENT,John,Eve,3839.91,46461.45,42621.53999999999,6056.44,9896.349999999999,0,1234-5678-9012-0675,2025-03-11 10:38:58.622283
DEBIT,David,Charlie,2488.24,39847.74,37359.5,41059.92,43548.159999999996,0,1234-5678-9012-0077,2024-10-10 10:38:58.622290
TRANSFER,Bob,Alice,4398.83,17129.92,12731.089999999998,13617.77,18016.6,0,1234-5678-9012-0415,2024-08-16 10:38:58.622297
DEBIT,Eve,Charlie,4592.7,31596.85,27004.149999999998,31722.08,36314.78,0,1234-5678-9012-0153,2024-11-09 10:38:58.622304
PAYMENT,Charlie,David,5486.52,44370.38,38883.86,10122.39,15608.91,0,1234-5678-9012-0214,2025-01-07 10:38:58.622312
TRANSFER,Jane,Eve,9135.03,24006.24,14871.210000000001,34442.12,43577.15,1,1234-5678-9012-0615,2024-12-06 10:38:58.622319
CASH_OUT,Alice,Jane,1977.19,3885.23,1908.04,47813.38,49790.57,0,1234-5678-9012-0911,2024-10-25 10:38:58.622326
PAYMENT,Eve,Alice,3338.51,16779.45,13440.94,564.61,3903.1200000000003,0,1234-5678-9012-0299,2025-05-01 10:38:58.622333
