timestamp,type,nameOrig,nameDest,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,isFraud,creditCard,countTransac,embedding_cosine_isAnomaly,embedding_euclidean_isAnomaly,rf_isAnomaly
2024-08-22 10:38:58.625204,DEBIT,David,Jane,3735.78,44671.62,40935.84,5806.73,9542.51,0,1234-5678-9012-0855,1.0,0,0,1
2024-11-08 10:38:58.623487,DEBIT,Eve,John,5461.74,15227.64,9765.9,38766.5,44228.24,0,1234-5678-9012-0583,1.0,1,1,1
2024-11-13 10:38:58.637089,TRANSFER,Charlie,John,8762.44,26322.4,17559.96,6468.81,15231.25,1,1234-5678-9012-0218,1.0,1,1,1
2024-07-21 10:38:58.642454,CASH_OUT,Bob,Charlie,6507.66,33135.45,26627.79,24531.6,31039.26,1,1234-5678-9012-0619,1.0,1,1,1
2024-06-25 10:38:58.641848,CASH_OUT,David,Eve,9559.05,12349.03,2789.9800000000014,17507.49,27066.54,1,1234-5678-9012-0415,1.0,1,1,1
2024-05-12 10:38:58.649785,CASH_IN,Bob,David,9102.86,16459.83,7356.970000000001,20326.56,29429.42,1,1234-5678-9012-0665,1.0,0,1,1
2024-06-16 10:38:58.676616,CASH_IN,Eve,Alice,866.76,47876.57,47009.81,23805.81,24672.57,1,1234-5678-9012-0442,1.0,1,1,1
2024-10-30 10:38:58.656300,TRANSFER,Charlie,Bob,9776.34,36267.02,26490.68,3182.8,12959.14,1,1234-5678-9012-0910,1.0,1,1,1
2024-10-26 10:38:58.659553,TRANSFER,Alice,John,6361.95,3930.48,-2431.47,16918.07,23280.02,1,1234-5678-9012-0930,1.0,1,1,1
2024-08-28 10:38:58.645264,PAYMENT,John,Bob,1130.14,12254.96,11124.82,8258.53,9388.67,1,1234-5678-9012-0559,1.0,1,1,1
2024-10-30 10:38:58.651171,DEBIT,David,Eve,4634.84,14998.88,10364.04,44151.36,48786.2,1,1234-5678-9012-0280,1.0,1,1,1
2024-05-21 10:38:58.660763,DEBIT,Jane,Eve,5768.55,7933.36,2164.8099999999995,39017.64,44786.19,1,1234-5678-9012-0908,1.0,1,1,1
2024-07-10 10:38:58.660862,CASH_OUT,Jane,Charlie,4857.09,43100.87,38243.78,38732.47,43589.56,1,1234-5678-9012-0579,1.0,1,1,1
2024-07-02 10:38:58.648137,PAYMENT,John,Jane,9619.7,33771.89,24152.19,14795.9,24415.6,1,1234-5678-9012-0451,1.0,1,1,0
2024-12-08 10:38:58.657219,CASH_IN,Bob,Eve,2766.38,28046.72,25280.34,43836.72,46603.1,1,1234-5678-9012-0329,1.0,0,0,1
2025-01-16 10:38:58.654072,CASH_IN,John,Jane,7553.8,31249.86,23696.06,42709.98,50263.780000000006,1,1234-5678-9012-0406,1.0,1,1,1
2024-07-22 10:38:58.676824,CASH_OUT,Charlie,John,5440.25,38094.7,32654.45,15758.61,21198.86,1,1234-5678-9012-0202,1.0,1,0,1
2025-01-04 10:38:58.644264,CASH_IN,John,Bob,8938.16,14701.28,5763.120000000001,9704.68,18642.84,0,1234-5678-9012-0936,1.0,0,1,1
2024-09-07 10:38:58.642720,PAYMENT,David,Alice,2580.96,42047.47,39466.51,38406.68,40987.64,1,1234-5678-9012-0878,1.0,1,1,1
2024-07-23 10:38:58.662402,TRANSFER,Charlie,Bob,4936.32,22848.97,17912.65,28936.13,33872.45,1,1234-5678-9012-0187,1.0,1,1,1
2024-07-11 10:38:58.636866,DEBIT,Eve,Alice,2684.7,7049.11,4364.41,19099.88,21784.58,1,1234-5678-9012-0929,1.0,1,1,0
2024-12-10 10:38:58.664309,DEBIT,Charlie,Alice,6279.26,9533.04,3253.7800000000007,13550.33,19829.59,1,1234-5678-9012-0781,1.0,0,1,1
2024-07-25 10:38:58.645098,TRANSFER,Eve,John,679.42,10110.26,9430.84,44204.36,44883.78,1,1234-5678-9012-0561,1.0,1,1,1
2024-06-20 10:38:58.660166,DEBIT,Jane,Alice,291.19,4766.29,4475.1,2124.91,2416.1,1,1234-5678-9012-0877,1.0,1,1,0
2025-04-18 10:38:58.649691,TRANSFER,Eve,Jane,9694.19,2020.26,-7673.93,33082.45,42776.64,1,1234-5678-9012-0800,1.0,1,1,1
